,address,sold,days,discount,price,Ration2Median,MonthList,MonthSold,NumList,NumPC,NumSold
270,"18 Ormond Park Rd, Glen Head, NY 11545",0,615,100.0,1599000,1.78,10,0,3,2,0
271,"2 Hoaglands Ln, Old Brookville, NY 11545",0,189,92.4,2399000,2.67,10,0,1,2,1
272,"165 Birch Dr, Roslyn, NY 11576",0,8,100.0,1050000,1.1,6,0,1,0,0
273,"26 The Birches, Roslyn, NY 11576",0,10,100.0,2100000,2.2,6,0,2,2,0
274,"14 Peachtree Ln, Roslyn, NY 11576",0,21,97.7,860000,0.9,4,0,1,1,3
275,"30 Fairway Ct, Roslyn, NY 11576",0,31,100.0,1498000,1.57,5,0,1,0,1
276,"54 Bryant Ave, Roslyn, NY 11576",0,66,88.2,705000,0.74,3,0,1,2,0
277,"12 The Glenada, Roslyn, NY 11576",0,36,100.0,1525000,1.6,5,0,2,6,0
278,"119 Shrub Hollow Rd, Roslyn, NY 11576",0,26,93.9,1150000,1.2,4,0,2,1,1
279,"460 Chestnut Dr, Roslyn, NY 11576",1,0,100.0,910000,0.95,0,5,0,0,1
280,"700 Motts Cove Rd N, Roslyn Harbor, NY 11576",0,57,94.3,1599000,1.67,3,0,2,4,1
281,"60 Fir Dr, Roslyn, NY 11576",0,36,100.0,1388000,1.45,5,0,1,0,1
282,"40 Mimosa Dr, Roslyn, NY 11576",0,107,80.6,998000,1.05,2,0,1,2,1
283,"45 Poplar Dr, Roslyn, NY 11576",0,55,98.5,1399000,1.46,4,0,1,1,1
284,"189 Dogwood Rd, Roslyn, NY 11576",0,68,88.3,1049000,1.1,3,0,3,5,1
285,"2 Pool Dr, Roslyn, NY 11576",0,146,100.0,1098000,1.15,1,0,3,1,1
286,"80 Poplar Dr, Roslyn, NY 11576",0,28,100.0,2199000,2.3,5,0,4,1,0
287,"268 Birch Dr, Roslyn, NY 11576",0,142,100.0,1098000,1.15,1,0,5,0,0
288,"200 Scudders Ln, Roslyn Harbor, NY 11576",1,226,72.0,1620000,1.7,9,5,1,1,1
289,"115 Heather Dr, East Hills, NY 11576",0,0,100.0,2588000,2.71,0,3,0,4,1
290,"14 Capri Dr, Roslyn, NY 11576",0,225,89.8,1525000,1.6,10,0,2,3,1
291,"71 Forsythia Ln, Jericho, NY 11753",0,36,100.0,729000,0.98,5,0,3,5,1
292,"112 Manhattan Ct W, Jericho, NY 11753",0,31,100.0,1349000,1.81,5,0,5,1,1
293,"11 Noel Ln, Jericho, NY 11753",0,13,100.0,1099888,1.48,6,0,1,0,1
294,"46 Sullivan Dr, Jericho, NY 11753",0,15,100.0,1098888,1.48,6,0,1,0,0
295,"275 Ellen Pl, Jericho, NY 11753",0,56,100.0,785000,1.05,4,0,2,1,0
296,"676 Parkside Dr, Jericho, NY 11753",0,42,100.0,829999,1.11,5,0,1,0,1
297,"72 Rockland Dr, Jericho, NY 11753",0,45,100.0,1080000,1.45,5,0,2,0,2
298,"49 Hightop Ln, Jericho, NY 11753",0,187,91.4,960000,1.29,11,0,1,6,0
299,"19 Herkimer Ave, Jericho, NY 11753",0,39,96.2,999000,1.34,4,0,1,1,0
300,"102 Maytime Dr, Jericho, NY 11753",0,34,100.0,925000,1.24,5,0,1,0,0
301,"71 Hazelwood Dr, Jericho, NY 11753",0,49,100.0,1350000,1.81,5,0,1,0,1
302,"45 Sagamore Way N, Jericho, NY 11753",0,64,91.6,1125000,1.51,4,0,1,3,2
303,"106 Dewey St, Jericho, NY 11753",0,56,97.7,1258000,1.69,4,0,2,1,1
304,"321 Woodbridge Ln, Jericho, NY 11753",0,12,96.4,799000,1.07,3,0,2,1,1
305,"8 Warren Ln, Jericho, NY 11753",0,97,102.6,1425000,1.91,3,0,1,2,1
306,"194 Maytime Dr, Jericho, NY 11753",0,45,191.8,1588000,2.13,4,0,3,20,1
307,"86 Magnolia Ln, Jericho, NY 11753",0,120,91.3,968000,1.3,2,0,1,2,0
308,"151 Hazelwood Dr, Jericho, NY 11753",0,69,100.0,1388000,1.86,4,0,3,1,1
309,"191 Birchwood Park Dr, Jericho, NY 11753",0,73,96.4,1049800,1.41,3,0,1,1,1
310,"50 Orange Dr, Jericho, NY 11753",0,45,96.1,1298000,1.74,3,0,2,2,1
311,"229 Halsey Ave, Jericho, NY 11753",0,69,92.6,988800,1.33,3,0,1,2,1
312,"9 Tioga Dr, Jericho, NY 11753",0,63,98.1,1058000,1.42,4,0,1,2,0
313,"25 Olde Hamlet Dr, Jericho, NY 11753",0,97,100.0,2548000,3.42,3,0,1,0,2
314,"29 Holiday Pond Rd, Jericho, NY 11753",0,106,100.0,2575000,3.46,3,0,1,0,1
315,"43 Kettlepond Rd, Jericho, NY 11753",0,91,96.5,2499000,3.35,11,0,1,1,1
316,"1 Terry Ln, Jericho, NY 11753",0,385,86.6,778000,1.04,5,0,3,10,1
317,"3 Magnolia Ln, Syosset, NY 11791",1,0,100.0,665000,1.03,0,8,0,0,1
318,"235 Stillwell Ln, Syosset, NY 11791",0,7,100.0,899000,1.4,6,0,1,0,0
319,"10 Hemlock Dr, Syosset, NY 11791",0,26,100.0,1150000,1.79,5,0,2,3,2
320,"1 Samuel Ct, Syosset, NY 11791",0,11,100.0,1098000,1.71,6,0,4,2,1
321,"120 Colony Ln, Syosset, NY 11791",0,9,100.0,765000,1.19,6,0,2,4,2
322,"37 Arizona Ave, Syosset, NY 11791",0,48,100.0,495000,0.77,5,0,4,0,0
323,"14 Rodeo Cir, Syosset, NY 11791",0,10,100.0,1598000,2.49,6,0,2,0,1
324,"15 Ellis Dr, Syosset, NY 11791",0,33,100.0,699000,1.09,5,0,2,0,1
325,"107 Convent Rd, Syosset, NY 11791",0,21,100.0,849000,1.32,5,0,3,4,2
326,"91 Circle Dr, Syosset, NY 11791",0,43,100.0,699988,1.09,5,0,1,0,0
327,"11 Miller Blvd, Syosset, NY 11791",0,52,100.0,1078000,1.68,4,0,5,1,2
328,"3 Beth Pl, Syosset, NY 11791",0,24,100.0,818888,1.27,5,0,5,2,2
329,"2 Pond Dr, Syosset, NY 11791",0,12,95.1,1188000,1.85,5,0,1,1,1
330,"69 Miller Blvd, Syosset, NY 11791",0,58,96.9,599000,0.93,3,0,4,5,1
331,"21 Teibrook Ave, Syosset, NY 11791",0,36,94.6,595000,0.93,4,0,3,1,2
332,"47 Stuart Dr, Syosset, NY 11791",0,43,97.3,708000,1.1,4,0,1,1,0
333,"63 Convent Rd, Syosset, NY 11791",0,79,100.0,858000,1.33,4,0,1,0,2
334,"11 Susan Ct, Syosset, NY 11791",0,82,88.4,749995,1.17,3,0,2,15,2
335,"23 Roberta Ln, Syosset, NY 11791",0,1156,138.6,940000,1.46,3,8,1,3,1
336,"3 Raynham Dr, Syosset, NY 11791",0,9,100.0,625000,0.97,6,0,1,0,0
337,"63 Colony Ln, Syosset, NY 11791",0,52,100.0,739000,1.15,4,0,1,0,0
338,"61 Candy Ln, Syosset, NY 11791",0,80,100.0,1188888,1.85,4,0,1,0,0
339,"2 Bradley Ct, Syosset, NY 11791",1,0,100.0,1400000,2.18,0,9,0,0,2
340,"Address Not Disclosed, Syosset, NY 11791",0,56,100.0,1288000,2.0,4,0,1,0,1
341,"23 Ava Dr, Syosset, NY 11791",0,50,100.0,949000,1.48,5,0,1,0,2
342,"1414 Ridge Rd, Syosset, NY 11791",0,30,100.0,1195000,1.86,5,0,2,2,1
343,"11 Debra Pl, Syosset, NY 11791",0,71,100.0,679000,1.06,4,0,1,0,0
344,"22 Barry Ln, Syosset, NY 11791",0,12,97.8,929000,1.45,5,0,2,1,0
345,"8 Alpine Dr, Syosset, NY 11791",0,17,100.0,1688800,2.63,6,0,1,0,1
346,"79 Southwood Cir, Syosset, NY 11791",0,80,100.0,1188888,1.85,4,0,1,0,0
347,"135 Colony Ln, Syosset, NY 11791",0,29,100.0,768000,1.19,5,0,1,0,0
348,"31 Crown St, Syosset, NY 11791",0,110,90.2,559000,0.87,2,0,1,3,1
349,"99 Hillside Ln, Syosset, NY 11791",0,36,100.0,668000,1.04,5,0,4,1,1
350,"1241 Moores Hill Rd, Laurel Hollow, NY 11791",0,309,96.0,2490000,3.87,6,0,4,6,0
351,"1 Apple St, Syosset, NY 11791",0,71,92.4,720000,1.12,3,0,1,2,1
352,"4 Chadwick Rd, Syosset, NY 11791",0,93,100.0,838000,1.3,3,0,3,0,1
353,"175 Southwood Cir, Syosset, NY 11791",0,80,119.2,1250000,1.94,3,0,3,2,1
354,"35 Westgate Rd, Syosset, NY 11791",0,43,100.0,3290000,5.12,5,0,5,11,2
355,"1436 Ridge Rd, Syosset, NY 11791",1,0,100.0,1687500,2.62,0,3,0,0,1
356,"70 Geralind Dr, Syosset, NY 11791",0,27,86.7,1299888,2.02,3,0,2,2,2
357,"4 Magnolia Ln, Syosset, NY 11791",0,50,100.0,828000,1.29,5,0,2,0,1
358,"49 Colony Ln, Syosset, NY 11791",0,195,85.7,445001,0.69,12,5,2,15,2
359,"7 Russell Park Rd, Syosset, NY 11791",0,77,93.9,824888,1.28,3,0,2,4,1
360,"35 North St, Syosset, NY 11791",0,50,97.2,899000,1.4,4,0,4,2,2
361,"187 Cold Spring Rd, Syosset, NY 11791",0,70,100.0,948000,1.47,4,0,2,0,0
362,"93 Sterling Ct, Syosset, NY 11791",0,53,91.2,1995000,3.1,3,0,4,2,3
363,"330 Muttontown Eastwoods Rd, Syosset, NY 11791",1,0,100.0,1125000,1.75,0,10,0,0,2
364,"7 White Oak Tree Rd, Syosset, NY 11791",0,197,100.0,995000,1.55,12,0,2,1,0
365,"211 Cold Spring Rd, Syosset, NY 11791",0,123,100.0,898000,1.4,2,0,2,0,0
366,"43 Pelican Ct, Syosset, NY 11791",0,23,94.3,1178000,1.83,2,0,1,1,0
367,"55 Fieldstone Dr, Syosset, NY 11791",1,0,100.0,510000,0.79,0,8,0,2,3
368,"196 Syosset Woodbury Rd, Syosset, NY 11791",0,223,93.5,865000,1.35,10,0,2,2,2
369,"15 1st St, Syosset, NY 11791",0,148,90.9,698000,1.09,10,0,2,2,2
370,"365 Split Rock Rd, Syosset, NY 11791",1,0,100.0,2108400,3.28,0,9,0,0,2
371,"94 Glenlawn Ave, Sea Cliff, NY 11579",0,9,100.0,1590000,2.36,6,0,4,9,1
372,"125 Dayton St, Sea Cliff, NY 11579",0,19,100.0,1485000,2.21,6,0,2,0,1
373,"16 Elm Pl, Sea Cliff, NY 11579",0,25,97.7,859000,1.28,4,0,1,1,2
374,"11 Marlan Ct, Sea Cliff, NY 11579",0,56,100.0,649000,0.97,4,0,3,5,1
375,"158 Prospect Ave, Sea Cliff, NY 11579",0,99,97.2,824999,1.23,2,0,2,2,2
376,"9 Winding Way, Sea Cliff, NY 11579",0,251,74.9,898000,1.34,8,0,2,5,3
377,"14 Mount Ararat Rd, Short Hills, NJ 07078",1,80,92.6,490000,0.29,3,5,1,1,1
378,"240 White Oak Ridge Rd, Short Hills, NJ 07078",1,179,93.4,765000,0.45,11,5,1,1,1
379,"401 Long Hill Dr, Short Hills, NJ 07078",1,100,110.3,1600000,0.95,2,5,1,0,1
380,"44 Mohawk Rd, Short Hills, NJ 07078",1,107,89.5,2675000,1.58,1,5,3,1,3
381,"102 Fairfield Dr, Short Hills, NJ 07078",1,79,98.4,1570000,0.93,2,5,4,2,3
382,"22 Keats Rd, Short Hills, NJ 07078",1,96,96.2,1150000,0.68,1,5,1,0,2
383,"1 Woodland Rd, Short Hills, NJ 07078",1,79,96.6,952000,0.56,2,5,3,1,4
384,"23 Hardwell Rd, Short Hills, NJ 07078",1,56,100.0,1095000,0.65,3,5,3,5,2
385,"88 Westview Rd, Short Hills, NJ 07078",1,0,100.0,2120000,1.26,11,11,2,2,3
386,"27 Hickory Rd, Short Hills, NJ 07078",1,64,103.8,1660000,0.98,2,4,1,0,1
387,"44 Slope Dr, Short Hills, NJ 07078",1,407,80.6,1490000,0.88,3,4,1,4,2
388,"39 Knollwood Rd, Short Hills, NJ 07078",1,179,89.1,2650000,1.57,11,4,1,0,2
389,"50 Falmouth St, Short Hills, NJ 07078",1,336,88.9,1555000,0.92,5,4,2,2,3
390,"15 Gapview Rd, Short Hills, NJ 07078",1,70,98.0,1495000,0.89,2,4,2,2,2
391,"70 Slope Dr, Short Hills, NJ 07078",1,222,69.2,1100000,0.65,9,4,1,3,1
392,"366 Old Short Hills Rd, Short Hills, NJ 07078",1,30,84.9,509250,0.3,3,4,7,2,1
393,"110 Westview Rd, Short Hills, NJ 07078",1,366,89.9,1780000,1.05,4,4,2,2,3
394,"17 Oak Hill Rd, Short Hills, NJ 07078",1,79,101.4,1115000,0.66,2,4,1,0,3
395,"60 Athens Rd, Short Hills, NJ 07078",1,37,100.0,2845000,1.69,3,4,3,18,2
396,"18 Exeter Rd, Short Hills, NJ 07078",1,310,80.3,1040000,0.62,6,4,1,3,2
397,"23 Slayton Dr, Short Hills, NJ 07078",1,156,83.9,1080000,0.64,11,4,1,3,2
398,"88 Birch Ln, Short Hills, NJ 07078",1,435,88.6,2836000,1.68,2,4,2,5,3
399,"18 Tennyson Dr, Short Hills, NJ 07078",1,69,104.6,1355000,0.8,2,4,1,0,3
400,"10 Dominick Ct, Short Hills, NJ 07078",1,167,93.0,1460000,0.87,10,4,1,0,2
401,"56 Great Oak Dr, Short Hills, NJ 07078",1,70,99.4,795000,0.47,2,4,1,0,4
402,"25 Joanna Way, Short Hills, NJ 07078",1,413,90.3,1650000,0.98,2,4,1,2,3
403,"15 Barnsdale Rd, Short Hills, NJ 07078",1,186,85.6,1280000,0.76,10,4,2,2,4
404,"11 West Rd, Short Hills, NJ 07078",1,67,99.5,1242000,0.74,1,3,4,3,2
405,"7 Joanna Way, Short Hills, NJ 07078",1,165,80.5,926000,0.55,10,3,1,0,1
406,"12 Shirlawn Dr, Short Hills, NJ 07078",1,167,89.8,2510000,1.49,10,3,2,3,4
407,"53 Elmwood Pl, Short Hills, NJ 07078",1,62,105.0,1150000,0.68,1,3,2,0,5
408,"7 Lawrence Dr, Short Hills, NJ 07078",1,128,93.8,985000,0.58,11,3,4,1,2
409,"8 Browning Rd, Short Hills, NJ 07078",1,65,97.1,1164000,0.69,1,3,2,0,2
410,"17 Delwick Ln, Short Hills, NJ 07078",1,250,94.7,3215000,1.9,7,3,2,0,1
411,"26 Whitney Rd, Short Hills, NJ 07078",1,556,80.5,865000,0.51,9,3,2,9,3
412,"135 Parsonage Hill Rd, Short Hills, NJ 07078",1,275,86.2,1205000,0.71,5,3,1,1,2
413,"17 Exeter Rd, Short Hills, NJ 07078",1,163,87.4,785000,0.47,9,3,1,1,2
414,"300 Taylor Rd S, Short Hills, NJ 07078",1,161,80.2,1137000,0.67,9,3,1,2,2
415,"5 Chapel Hill Rd, Short Hills, NJ 07078",1,274,90.1,1485000,0.88,5,2,1,2,2
416,"183 Parsonage Hill Rd, Short Hills, NJ 07078",1,0,100.0,1172000,0.69,8,11,5,3,5
417,"49 Baltusrol Way, Short Hills, NJ 07078",1,93,97.2,923000,0.55,11,2,1,0,1
418,"18 Colonial Way, Short Hills, NJ 07078",1,220,79.9,1275000,0.76,7,2,1,1,1
419,"862 Morris Tpke, Short Hills, NJ 07078",1,120,84.7,470000,0.28,10,2,4,8,4
420,"26 Colonial Way, Short Hills, NJ 07078",1,281,80.5,845000,0.5,5,2,1,4,3
421,"323 Lupine Way, Short Hills, NJ 07078",1,0,100.0,900000,0.53,0,2,0,0,1
422,"40 Colonial Way, Short Hills, NJ 07078",1,139,89.2,847000,0.5,9,1,2,3,2
423,"50 Meadowbrook Rd, Short Hills, NJ 07078",1,240,88.9,885000,0.52,5,1,1,3,1
424,"2 Birchwood Dr, Short Hills, NJ 07078",1,0,100.0,899000,0.53,0,9,0,0,3
425,"72 West Rd, Short Hills, NJ 07078",1,66,103.3,775000,0.46,11,1,1,0,1
426,"62 Wellington Ave, Short Hills, NJ 07078",1,210,84.3,993000,0.59,6,1,1,3,1
427,"365 Long Hill Dr, Short Hills, NJ 07078",1,243,87.8,2525000,1.5,5,1,4,1,1
428,"128 Short Hills Ave, Short Hills, NJ 07078",1,119,89.5,850000,0.5,9,1,1,1,2
429,"30 Hemlock Rd, Short Hills, NJ 07078",1,0,100.0,1900000,1.13,3,7,3,2,5
430,"9 Fielding Rd, Short Hills, NJ 07078",1,292,69.6,870000,0.52,3,1,1,6,1
431,"10 Sparta Rd, Short Hills, NJ 07078",1,306,85.3,1705000,1.01,3,1,1,2,2
432,"70 Wellington Ave, Short Hills, NJ 07078",1,91,100.2,852000,0.5,10,1,2,1,2
433,"2 Troy Dr, Short Hills, NJ 07078",1,672,73.9,1848000,1.09,2,12,1,8,4
434,"19 Haddonfield Rd, Short Hills, NJ 07078",1,0,100.0,1118000,0.66,9,12,1,0,4
435,"57 Westview Rd, Short Hills, NJ 07078",1,171,83.0,1450000,0.86,7,12,1,2,3
436,"11 Fenton Dr, Short Hills, NJ 07078",1,0,100.0,1326100,0.79,10,12,2,3,4
437,"65 Whitney Rd, Short Hills, NJ 07078",1,168,82.7,850000,0.5,7,12,1,2,2
438,"44 Spenser Dr, Short Hills, NJ 07078",1,0,100.0,1245000,0.74,0,8,0,0,2
439,"44 Great Oak Dr, Short Hills, NJ 07078",1,187,89.5,715000,0.42,7,1,1,2,3
440,"51 Falmouth St, Short Hills, NJ 07078",1,373,70.5,1480000,0.88,12,12,1,4,2
441,"12 Midhurst Rd, Short Hills, NJ 07078",1,174,82.7,950000,0.56,6,12,1,1,1
442,"4 Benson Ct, Short Hills, NJ 07078",1,0,100.0,1030000,0.61,0,12,0,0,1
443,"161 Western Dr, Short Hills, NJ 07078",1,1217,88.6,1950000,1.16,8,12,1,0,2
444,"17 Minnisink Rd, Short Hills, NJ 07078",1,257,81.0,1337200,0.79,3,12,2,3,2
445,"31 Timber Acres Rd, Short Hills, NJ 07078",1,0,100.0,1199000,0.71,6,11,2,1,3
446,"5 Chestnut Pl, Short Hills, NJ 07078",1,78,95.5,1217500,0.72,9,12,1,0,1
447,"28 Holly Dr, Short Hills, NJ 07078",1,269,81.4,2035000,1.21,3,12,4,6,2
448,"27 Brooklawn Dr, Short Hills, NJ 07078",1,253,84.3,1475000,0.87,3,12,1,2,2
449,"65 Westview Rd, Short Hills, NJ 07078",1,90,94.0,930000,0.55,9,12,1,0,1
450,"110 Wellington Ave, Short Hills, NJ 07078",1,0,100.0,1150000,0.68,2,5,1,0,3
451,"39 Briarwood Dr, Short Hills, NJ 07078",1,84,86.5,2075000,1.23,9,11,1,1,2
452,"12 Coleridge Rd, Short Hills, NJ 07078",1,103,98.3,1175000,0.7,8,11,1,0,1
453,"52 Winthrop Rd, Short Hills, NJ 07078",1,0,100.0,893000,0.53,5,8,1,1,4
454,"66 Canoe Brook Rd, Short Hills, NJ 07078",1,281,76.3,1140000,0.68,2,11,1,5,2
455,"22 Dorset Ln, Short Hills, NJ 07078",1,468,48.1,1300000,0.77,8,11,4,1,3
456,"22 Wordsworth Rd, Short Hills, NJ 07078",1,206,83.2,2160000,1.28,4,11,2,4,2
457,"16 Great Oak Dr, Short Hills, NJ 07078",1,106,84.6,1100000,0.65,8,11,2,1,1
458,"153 Highland Ave, Short Hills, NJ 07078",1,196,101.7,1825000,1.08,4,11,1,0,2
459,"135 Stewart Rd, Short Hills, NJ 07078",1,145,90.4,2575000,1.53,6,11,1,1,2
460,"90 Silver Spring Rd, Short Hills, NJ 07078",1,0,100.0,3600,0.0,0,5,0,0,3
461,"6 Addison Dr, Short Hills, NJ 07078",1,163,96.2,1202500,0.71,5,11,1,0,1
462,"20 Woodcrest Ave, Short Hills, NJ 07078",1,0,100.0,3050000,1.81,5,8,1,0,2
463,"50 Farley Rd, Short Hills, NJ 07078",1,173,91.0,3175000,1.88,4,10,1,1,2
464,"22 W Beechcroft Rd, Short Hills, NJ 07078",1,184,83.7,1422500,0.84,4,10,2,3,3
465,"258 Brookhaven Way, Short Hills, NJ 07078",1,127,863.5,993000,0.59,5,10,1,2,1
466,"30 Campbell Rd, Short Hills, NJ 07078",1,119,83.3,990000,0.59,6,10,1,1,1
467,"18 E Hartshorn Dr, Short Hills, NJ 07078",1,101,100.0,1298000,0.77,6,10,1,0,1
468,"17 Lee Ter, Short Hills, NJ 07078",1,175,94.4,1600000,0.95,4,10,1,0,1
469,"16 Farley Pl, Short Hills, NJ 07078",1,0,100.0,19200,0.01,0,5,0,0,5
470,"2 Browning Rd, Short Hills, NJ 07078",1,243,100.0,1999000,1.18,2,10,2,0,2
471,"74 Taylor Rd, Short Hills, NJ 07078",1,122,92.5,2400000,1.42,6,10,1,0,3
472,"47 Lake Rd, Short Hills, NJ 07078",1,168,83.1,1620000,0.96,4,9,1,2,2
473,"34 Byron Rd, Short Hills, NJ 07078",1,100,101.1,1340000,0.79,6,9,1,0,3
474,"110 Old Short Hills Rd, Short Hills, NJ 07078",1,113,91.6,870000,0.52,6,9,1,0,4
475,"194 Long Hill Dr, Short Hills, NJ 07078",1,226,91.1,2000000,1.19,2,9,5,7,8
476,"34 Farmstead Rd, Short Hills, NJ 07078",1,0,100.0,2950000,1.75,0,2,0,0,2
477,"44 Montview Ave, Short Hills, NJ 07078",1,576,70.9,5000000,2.96,2,9,3,5,4
478,"64 Browning Rd, Short Hills, NJ 07078",1,127,91.5,1418000,0.84,5,9,2,1,3
479,"43 Haran Cir, Millburn, NJ 07041",1,118,88.8,755000,0.97,2,6,2,2,1
480,"80 Cypress St, Millburn, NJ 07041",1,79,100.0,699000,0.89,3,5,1,0,2
481,"96 Greenwood Dr, Millburn, NJ 07041",1,54,100.0,849000,1.09,4,5,3,0,4
482,"398 Wyoming Ave, Millburn, NJ 07041",1,69,111.4,823500,1.05,3,5,1,0,1
483,"727 Ridgewood Rd, Millburn, NJ 07041",1,53,109.2,573500,0.73,3,5,1,0,1
484,"19 Greenwood Dr, Millburn, NJ 07041",1,0,100.0,990000,1.27,7,9,1,0,3
485,"37 Oval Rd, Millburn, NJ 07041",1,73,95.7,837500,1.07,2,4,2,0,2
486,"76 Chestnut St, Millburn, NJ 07041",1,82,102.3,895000,1.15,2,4,1,0,2
487,"25 Greenwood Dr, Millburn, NJ 07041",1,92,100.0,995000,1.27,1,4,1,0,3
488,"59 Pine St, Millburn, NJ 07041",1,200,77.4,600000,0.77,9,4,1,3,1
489,"9 Sunset Dr, Millburn, NJ 07041",1,70,96.4,525200,0.67,1,4,1,0,1
490,"8 Oakdale Ave, Millburn, NJ 07041",1,57,99.3,685000,0.88,2,4,3,5,2
491,"848 Ridgewood Rd, Millburn, NJ 07041",1,72,94.0,675000,0.86,1,3,1,1,1
492,"59 Elm St, Millburn, NJ 07041",1,81,96.7,705000,0.9,1,3,1,1,1
493,"28 Parkview Dr, Millburn, NJ 07041",1,97,94.4,722000,0.92,12,3,1,0,1
494,"14 Evergreen Ter, Millburn, NJ 07041",1,0,100.0,575000,0.74,0,10,0,0,2
495,"9 Southern Slope Dr, Millburn, NJ 07041",1,136,92.9,650000,0.83,10,3,1,1,1
496,"42 Whittingham Ter, Millburn, NJ 07041",1,117,97.2,825000,1.06,10,2,1,0,2
497,"37 Whittingham Ter, Millburn, NJ 07041",1,0,100.0,720000,0.92,9,1,3,5,6
498,"166 Myrtle Ave, Millburn, NJ 07041",1,0,100.0,1065000,1.36,9,12,1,0,3
499,"416 Wyoming Ave, Millburn, NJ 07041",1,81,97.3,802500,1.03,11,1,1,0,3
500,"49 Blaine St, Millburn, NJ 07041",0,122,100.0,530000,0.68,2,0,1,0,1
501,"106 Spring St, Millburn, NJ 07041",1,0,100.0,790000,1.01,0,1,0,0,1
502,"68 Myrtle Ave, Millburn, NJ 07041",1,341,81.0,623900,0.8,2,1,2,6,4
503,"26 S Mountain Rd, Millburn, NJ 07041",1,133,104.6,655000,0.84,9,1,1,0,1
504,"46 Elm St, Millburn, NJ 07041",1,0,100.0,1137250,1.46,0,7,0,0,3
505,"520 Wyoming Ave, Millburn, NJ 07041",1,0,100.0,1250888,1.6,9,12,1,1,3
506,"44 Blaine St, Millburn, NJ 07041",1,78,112.7,675000,0.86,10,12,1,0,1
507,"37 Parkview Dr, Millburn, NJ 07041",1,93,104.1,832000,1.06,9,12,2,0,1
508,"147 Glen Ave, Millburn, NJ 07041",1,98,85.4,665000,0.85,9,12,1,1,1
509,"27 Undercliff Rd, Millburn, NJ 07041",1,81,92.0,735000,0.94,9,12,2,1,3
510,"77 Clinton Ave, Millburn, NJ 07041",1,84,107.8,1180000,1.51,9,12,3,1,4
511,"86 Pine St, Millburn, NJ 07041",1,83,91.9,670000,0.86,9,11,1,0,2
512,"21 Duncan St, Millburn, NJ 07041",1,76,107.0,855000,1.09,9,11,1,0,1
513,"11 Wittkop Pl, Millburn, NJ 07041",0,27,100.0,999900,1.28,5,0,2,0,4
514,"389 Wyoming Ave, Millburn, NJ 07041",1,0,100.0,1087500,1.39,9,11,2,1,4
515,"20 Beech Ter, Millburn, NJ 07041",1,77,109.4,765000,0.98,8,11,1,0,1
516,"412 Millburn Ave, Millburn, NJ 07041",1,0,100.0,540000,0.69,0,11,0,0,1
517,"353 Wyoming Ave, Millburn, NJ 07041",1,101,76.9,500000,0.64,8,11,1,1,1
518,"23 Locust Ave, Millburn, NJ 07041",1,183,92.3,600000,0.77,5,11,2,4,3
519,"35 Glen Ave, Millburn, NJ 07041",1,109,97.9,616000,0.79,7,11,2,4,4
520,"87 Chestnut St, Millburn, NJ 07041",1,142,88.7,875000,1.12,6,10,1,1,2
521,"78 Myrtle Ave, Millburn, NJ 07041",1,89,95.3,1520000,1.94,7,10,2,0,3
522,"117 Sagamore Rd, Millburn, NJ 07041",1,99,81.9,630000,0.81,6,10,2,1,1
523,"34 Cypress St, Millburn, NJ 07041",1,158,94.8,615000,0.79,4,10,2,2,1
524,"41 Cedar St, Millburn, NJ 07041",1,232,83.9,520000,0.67,2,10,1,1,4
525,"27 Myrtle Ave, Millburn, NJ 07041",1,65,95.0,760000,0.97,7,9,1,1,1
526,"880 Ridgewood Rd, Millburn, NJ 07041",1,115,135.6,610000,0.78,5,9,3,0,3
527,"29 Park Dr, Livingston, NJ 07039",1,82,101.3,465000,0.88,10,12,1,0,2
528,"34 Burgundy Ct, Livingston, NJ 07039",1,246,89.3,785000,1.49,4,12,1,3,1
529,"46 E Cedar St, Livingston, NJ 07039",1,167,90.7,635000,1.2,6,12,5,6,3
530,"462 S Livingston Ave, Livingston, NJ 07039",1,0,100.0,420000,0.8,5,11,2,2,3
531,"52 Ridge Dr, Livingston, NJ 07039",1,229,82.5,660000,1.25,4,12,1,4,3
532,"38 Washington Ct, Livingston, NJ 07039",1,53,97.6,340000,0.64,10,12,1,0,2
533,"25 Woodland Ter, Livingston, NJ 07039",1,112,85.0,510000,0.97,8,12,2,5,1
534,"10 Symington Ave, Livingston, NJ 07039",1,409,241.6,900000,1.71,10,11,1,0,2
535,"30 McCall Ave, Livingston, NJ 07039",1,0,100.0,305046,0.58,7,11,3,2,2
536,"100 Kimball Ave, Livingston, NJ 07039",1,2000,115.8,787000,1.49,6,11,1,0,1
537,"90 Kimball Ave, Livingston, NJ 07039",1,67,101.7,599000,1.14,9,11,2,0,1
538,"41 Longacre Dr, Livingston, NJ 07039",1,77,100.5,612000,1.16,9,11,1,0,1
539,"46 Sycamore Ave, Livingston, NJ 07039",1,0,100.0,685000,1.3,6,11,2,0,2
540,"7 Windsor Dr, Livingston, NJ 07039",1,75,100.0,1595000,3.02,9,11,2,0,2
541,"35 Burnet Hill Rd, Livingston, NJ 07039",1,70,104.4,470000,0.89,9,11,1,0,2
542,"20 Goodhart Dr, Livingston, NJ 07039",0,169,100.0,1999000,3.79,1,0,3,0,2
543,"97 Fellswood Dr, Livingston, NJ 07039",1,138,99.5,995000,1.89,7,11,1,0,1
